phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,16,25,1800,5383076,5384876,0.000197,0.208067,0.208264
9,14,23,2212,190310,192522,0.000198,0.007144,0.007342
8,15,23,496,2563669,2564165,0.000045,0.096907,0.096952
10,14,24,10144,420988,431132,0.000805,0.015189,0.015994
9,16,25,7188,7585647,7592835,0.000570,0.263391,0.263961
9,15,24,6123,433510,439633,0.000513,0.015034,0.015547
9,14,23,3364,599143,602507,0.000294,0.020627,0.020921
9,15,24,8745,1674082,1682827,0.000702,0.056678,0.057380
10,13,23,17975,23967,41942,0.001290,0.001162,0.002452
10,13,23,35758,46397,82155,0.002274,0.002013,0.004287
10,14,24,51175,4738818,4789993,0.003140,0.172321,0.175461
9,14,23,4705,245095,249800,0.000378,0.008600,0.008978
10,14,24,29344,209830,239174,0.002015,0.008711,0.010726
8,15,23,888,3341016,3341904,0.000079,0.126046,0.126125
10,14,24,77427,254859,332286,0.005160,0.009497,0.014657
9,13,22,7480,25795,33275,0.000574,0.001353,0.001927
10,15,25,53471,672636,726107,0.003803,0.027524,0.031327
10,14,24,14470,1177494,1191964,0.001083,0.039228,0.040311
10,15,25,63587,430106,493693,0.004083,0.016558,0.020641
9,12,21,10404,21684,32088,0.000798,0.000940,0.001738
9,12,21,4306,41241,45547,0.000330,0.001772,0.002102
10,16,26,77063,3845086,3922149,0.005114,0.149741,0.154855
9,11,20,9396,26421,35817,0.000736,0.001015,0.001751
8,15,23,796,1157460,1158256,0.000058,0.042407,0.042465
10,14,24,9916,269044,278960,0.000784,0.010180,0.010964
9,15,24,7886,4739466,4747352,0.000620,0.173058,0.173678
9,15,24,741,1080527,1081268,0.000077,0.043780,0.043857
9,15,24,8176,1113412,1121588,0.000650,0.041564,0.042214
8,14,22,1658,599254,600912,0.000156,0.020992,0.021148
8,13,21,1731,434967,436698,0.000153,0.015712,0.015865
10,15,25,16227,364854,381081,0.001323,0.012994,0.014317
8,13,21,3342,114765,118107,0.000251,0.004619,0.004870
9,13,22,10628,75706,86334,0.000812,0.002957,0.003769
10,15,25,35162,1871288,1906450,0.002542,0.066183,0.068725
9,13,22,6410,78411,84821,0.000542,0.002978,0.003520
10,14,24,45919,1414920,1460839,0.003484,0.053709,0.057193
10,16,26,5056,2875155,2880211,0.000407,0.111915,0.112322
8,13,21,392,62428,62820,0.000040,0.002939,0.002979
10,16,26,12003,3098826,3110829,0.000956,0.122178,0.123134
10,13,23,16254,695,16949,0.001231,0.000059,0.001290
9,16,25,10752,1745904,1756656,0.000739,0.067868,0.068607
9,13,22,2628,197483,200111,0.000207,0.007383,0.007590
10,15,25,8452,2663319,2671771,0.000672,0.094624,0.095296
9,15,24,1981,1297368,1299349,0.000183,0.046497,0.046680
10,12,22,23487,16758,40245,0.001744,0.000726,0.002470
10,14,24,31816,493535,525351,0.002153,0.018626,0.020779
10,14,24,15546,864630,880176,0.001258,0.029877,0.031135
9,15,24,16244,3463433,3479677,0.001179,0.129008,0.130187
10,15,25,9162,415483,424645,0.000731,0.015055,0.015786
9,14,23,7885,213738,221623,0.000619,0.009106,0.009725
9,14,23,3842,1311969,1315811,0.000319,0.043832,0.044151
8,14,22,1136,1904046,1905182,0.000097,0.070416,0.070513
9,15,24,5202,761543,766745,0.000463,0.028601,0.029064
9,12,21,8319,68096,76415,0.000686,0.002669,0.003355
