phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,16,25,1800,5383076,5384876,0.000196,0.197886,0.198082
9,14,23,2212,190310,192522,0.000197,0.007165,0.007362
8,15,23,496,2563669,2564165,0.000045,0.092726,0.092771
10,14,24,10144,420988,431132,0.000780,0.014572,0.015352
9,16,25,7188,7585647,7592835,0.000565,0.264604,0.265169
9,15,24,6123,433510,439633,0.000507,0.015316,0.015823
9,14,23,3364,599143,602507,0.000296,0.020244,0.020540
9,15,24,8745,1674082,1682827,0.000685,0.055465,0.056150
10,13,23,17975,23967,41942,0.001276,0.001157,0.002433
10,13,23,35758,46397,82155,0.002257,0.001993,0.004250
10,14,24,51175,4738818,4789993,0.003087,0.163484,0.166571
9,14,23,4705,245095,249800,0.000380,0.008755,0.009135
10,14,24,29344,209830,239174,0.001994,0.007956,0.009950
8,15,23,888,3341016,3341904,0.000074,0.114823,0.114897
10,14,24,77427,254859,332286,0.004873,0.008981,0.013854
9,13,22,7480,25795,33275,0.000549,0.001276,0.001825
10,15,25,53471,672636,726107,0.003627,0.025284,0.028911
10,14,24,14470,1177494,1191964,0.001026,0.037873,0.038899
10,15,25,63587,430106,493693,0.004025,0.016364,0.020389
9,12,21,10404,21684,32088,0.000795,0.000921,0.001716
9,12,21,4306,41241,45547,0.000331,0.001752,0.002083
10,16,26,77063,3845086,3922149,0.005102,0.143878,0.148980
9,11,20,9396,26421,35817,0.000718,0.000995,0.001713
8,15,23,796,1157460,1158256,0.000060,0.040652,0.040712
10,14,24,9916,269044,278960,0.000786,0.010085,0.010871
9,15,24,7886,4739466,4747352,0.000624,0.163216,0.163840
9,15,24,741,1080527,1081268,0.000075,0.040674,0.040749
9,15,24,8176,1113412,1121588,0.000652,0.040044,0.040696
8,14,22,1658,599254,600912,0.000161,0.026195,0.026356
8,13,21,1731,434967,436698,0.000157,0.016008,0.016165
10,15,25,16227,364854,381081,0.001308,0.012804,0.014112
8,13,21,3342,114765,118107,0.000267,0.004722,0.004989
9,13,22,10628,75706,86334,0.000782,0.002920,0.003702
10,15,25,35162,1871288,1906450,0.002569,0.065228,0.067797
9,13,22,6410,78411,84821,0.000535,0.002969,0.003504
10,14,24,45919,1414920,1460839,0.003213,0.048730,0.051943
10,16,26,5056,2875155,2880211,0.000410,0.104005,0.104415
8,13,21,392,62428,62820,0.000040,0.002662,0.002702
10,16,26,12003,3098826,3110829,0.000925,0.119654,0.120579
10,13,23,16254,695,16949,0.001223,0.000066,0.001289
9,16,25,10752,1745904,1756656,0.000725,0.066503,0.067228
9,13,22,2628,197483,200111,0.000205,0.007050,0.007255
10,15,25,8452,2663319,2671771,0.000653,0.092670,0.093323
9,15,24,1981,1297368,1299349,0.000182,0.045926,0.046108
10,12,22,23487,16758,40245,0.001719,0.000710,0.002429
10,14,24,31816,493535,525351,0.002140,0.017883,0.020023
10,14,24,15546,864630,880176,0.001229,0.029855,0.031084
9,15,24,16244,3463433,3479677,0.001163,0.129047,0.130210
10,15,25,9162,415483,424645,0.000720,0.014974,0.015694
9,14,23,7885,213738,221623,0.000615,0.008464,0.009079
9,14,23,3842,1311969,1315811,0.000318,0.043474,0.043792
8,14,22,1136,1904046,1905182,0.000097,0.070417,0.070514
9,15,24,5202,761543,766745,0.000456,0.033534,0.033990
9,12,21,8319,68096,76415,0.000721,0.002986,0.003707
9,14,23,2260,170438,172698,0.000206,0.008297,0.008503
10,14,24,7993,699660,707653,0.000702,0.030818,0.031520
10,14,24,7862,516781,524643,0.000674,0.023895,0.024569
9,15,24,1660,3007888,3009548,0.000160,0.114909,0.115069
9,14,23,29222,352836,382058,0.001925,0.014195,0.016120
9,14,23,7050,167783,174833,0.000550,0.006824,0.007374
10,13,23,12653,214262,226915,0.000962,0.008125,0.009087
9,14,23,3396,221348,224744,0.000242,0.008455,0.008697
10,13,23,24232,4738,28970,0.001803,0.000257,0.002060
8,15,23,689,251287,251976,0.000053,0.009472,0.009525
10,16,26,73608,1402345,1475953,0.004800,0.055549,0.060349
10,15,25,23365,1547221,1570586,0.001783,0.051323,0.053106
10,14,24,13045,248189,261234,0.001012,0.009860,0.010872
10,15,25,6856,2293550,2300406,0.000573,0.082402,0.082975
9,14,23,2390,4065203,4067593,0.000206,0.132546,0.132752
9,14,23,6678,1236153,1242831,0.000516,0.040867,0.041383
10,14,24,15626,620300,635926,0.001207,0.020235,0.021442
9,13,22,6098,216276,222374,0.000482,0.007948,0.008430
10,13,23,23228,14789,38017,0.001793,0.001018,0.002811
8,14,22,4321,169438,173759,0.000316,0.006392,0.006708
10,15,25,45605,5627540,5673145,0.002984,0.198294,0.201278
9,15,24,6864,151700,158564,0.000594,0.006143,0.006737
10,14,24,49831,53697,103528,0.003232,0.002881,0.006113
10,13,23,13345,13507,26852,0.000941,0.000715,0.001656
9,15,24,5591,2415061,2420652,0.000423,0.102315,0.102738
9,14,23,9137,1322872,1332009,0.000693,0.050287,0.050980
10,15,25,20889,332221,353110,0.001513,0.013783,0.015296
10,15,25,14133,2260245,2274378,0.001195,0.087819,0.089014
10,13,23,7977,239703,247680,0.000638,0.010399,0.011037
9,14,23,9824,195949,205773,0.000748,0.008413,0.009161
10,13,23,52408,87247,139655,0.003865,0.004530,0.008395
10,14,24,41909,1657120,1699029,0.003038,0.056328,0.059366
9,13,22,8663,25291,33954,0.000653,0.001114,0.001767
9,14,23,2518,567940,570458,0.000192,0.020944,0.021136
10,13,23,107126,239713,346839,0.006624,0.009235,0.015859
9,15,24,1000,271844,272844,0.000084,0.011422,0.011506
10,14,24,36396,2230143,2266539,0.002677,0.082510,0.085187
10,15,25,23777,601056,624833,0.001617,0.027325,0.028942
10,15,25,13601,1951094,1964695,0.001067,0.070155,0.071222
11,14,25,97419,227878,325297,0.006305,0.009212,0.015517
10,15,25,7132,257094,264226,0.000619,0.013067,0.013686
9,15,24,3090,514313,517403,0.000287,0.025884,0.026171
10,14,24,17680,170036,187716,0.001523,0.007341,0.008864
8,14,22,629,1063829,1064458,0.000064,0.041282,0.041346
10,14,24,9265,3618553,3627818,0.000748,0.125662,0.126410
8,14,22,1125,1263457,1264582,0.000096,0.041762,0.041858
10,13,23,23113,157948,181061,0.001767,0.006287,0.008054
10,13,23,11809,69396,81205,0.001004,0.003649,0.004653
10,15,25,17634,5522833,5540467,0.001304,0.192018,0.193322
10,15,25,26019,1055614,1081633,0.002044,0.043610,0.045654
10,15,25,18750,680632,699382,0.001388,0.026448,0.027836
10,14,24,64000,104801,168801,0.004792,0.005646,0.010438
9,14,23,3036,92504,95540,0.000270,0.005404,0.005674
9,13,22,1446,76774,78220,0.000151,0.004207,0.004358
10,14,24,41894,72063,113957,0.002642,0.003782,0.006424
9,14,23,4295,772660,776955,0.000371,0.030534,0.030905
8,15,23,2842,173314,176156,0.000294,0.007991,0.008285
10,14,24,44884,624687,669571,0.003280,0.025140,0.028420
10,13,23,34161,119444,153605,0.002505,0.004967,0.007472
10,14,24,15468,783131,798599,0.001150,0.031165,0.032315
10,14,24,30605,73720,104325,0.002051,0.003213,0.005264
10,14,24,35503,146183,181686,0.002408,0.006091,0.008499
10,15,25,13075,811800,824875,0.000951,0.030012,0.030963
9,12,21,15357,39744,55101,0.001229,0.001889,0.003118
9,14,23,2197,418886,421083,0.000223,0.017288,0.017511
10,14,24,22562,693807,716369,0.001852,0.025981,0.027833
9,13,22,9896,41314,51210,0.000864,0.001866,0.002730
9,15,24,2103,1619097,1621200,0.000193,0.055800,0.055993
10,14,24,6964,12776,19740,0.000650,0.000909,0.001559
10,14,24,14285,1448620,1462905,0.001100,0.055081,0.056181
10,15,25,20023,1878002,1898025,0.001569,0.073158,0.074727
9,14,23,1694,171326,173020,0.000165,0.006618,0.006783
10,15,25,12190,423442,435632,0.000925,0.016519,0.017444
10,15,25,70911,987449,1058360,0.004366,0.040263,0.044629
10,12,22,31671,12890,44561,0.002646,0.000890,0.003536
7,14,21,577,214380,214957,0.000042,0.008603,0.008645
9,14,23,7161,1941795,1948956,0.000574,0.069023,0.069597
10,15,25,37225,802453,839678,0.002688,0.030121,0.032809
10,15,25,77768,1059454,1137222,0.004899,0.043924,0.048823
10,14,24,16747,559584,576331,0.001374,0.024790,0.026164
10,14,24,26505,101743,128248,0.002068,0.004136,0.006204
9,11,20,3695,4701,8396,0.000343,0.000294,0.000637
9,14,23,1863,9551220,9553083,0.000163,0.343642,0.343805
10,11,21,20659,1671,22330,0.001292,0.000114,0.001406
10,15,25,35782,461245,497027,0.002661,0.018339,0.021000
9,14,23,4098,139017,143115,0.000389,0.005982,0.006371
8,14,22,2599,1349393,1351992,0.000223,0.045120,0.045343
10,15,25,18386,900145,918531,0.001446,0.033753,0.035199
9,12,21,3441,14835,18276,0.000331,0.000754,0.001085
10,13,23,89310,20755,110065,0.005643,0.000967,0.006610
11,15,26,91145,4216145,4307290,0.005312,0.152865,0.158177
10,14,24,7447,135322,142769,0.000647,0.005484,0.006131
9,15,24,1138,1986632,1987770,0.000108,0.075589,0.075697
10,14,24,54616,1704891,1759507,0.003779,0.062989,0.066768
9,14,23,6564,675036,681600,0.000572,0.027518,0.028090
10,13,23,11392,12256,23648,0.000874,0.000659,0.001533
9,14,23,16221,13173,29394,0.001148,0.001006,0.002154
10,13,23,29423,74086,103509,0.002190,0.003921,0.006111
10,14,24,24479,99962,124441,0.001842,0.004739,0.006581
9,13,22,5216,111399,116615,0.000414,0.004474,0.004888
10,14,24,8607,329810,338417,0.000755,0.013105,0.013860
9,13,22,8469,19703,28172,0.000666,0.001063,0.001729
10,16,26,39792,3553006,3592798,0.002804,0.135693,0.138497
10,12,22,72277,36065,108342,0.004459,0.001810,0.006269
9,16,25,7262,4587825,4595087,0.000536,0.160437,0.160973
10,14,24,30851,184609,215460,0.002201,0.007261,0.009462
10,14,24,43187,1864970,1908157,0.003170,0.059790,0.062960
10,12,22,11907,2449,14356,0.001005,0.000201,0.001206
8,15,23,637,948585,949222,0.000067,0.040275,0.040342
9,14,23,2041,977218,979259,0.000211,0.034460,0.034671
