phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,16,25,1800,5383076,5384876,0.000105,0.116762,0.116867
9,14,23,2212,190310,192522,0.000113,0.003444,0.003557
8,15,23,496,2563669,2564165,0.000024,0.044978,0.045002
10,14,24,10144,420988,431132,0.000570,0.007190,0.007760
9,16,25,7188,7585647,7592835,0.000313,0.126656,0.126969
9,15,24,6123,433510,439633,0.000302,0.007249,0.007551
9,14,23,3364,599143,602507,0.000160,0.010262,0.010422
9,15,24,8745,1674082,1682827,0.000386,0.027391,0.027777
10,13,23,17975,23967,41942,0.000706,0.000456,0.001162
10,13,23,35758,46397,82155,0.001424,0.000851,0.002275
10,14,24,51175,4738818,4789993,0.001681,0.084024,0.085705
9,14,23,4705,245095,249800,0.000203,0.004236,0.004439
10,14,24,29344,209830,239174,0.001103,0.003745,0.004848
8,15,23,888,3341016,3341904,0.000039,0.055986,0.056025
10,14,24,77427,254859,332286,0.002847,0.004427,0.007274
9,13,22,7480,25795,33275,0.000286,0.000585,0.000871
10,15,25,53471,672636,726107,0.001837,0.014441,0.016278
10,14,24,14470,1177494,1191964,0.000611,0.023539,0.024150
10,15,25,63587,430106,493693,0.002222,0.008721,0.010943
9,12,21,10404,21684,32088,0.000474,0.000549,0.001023
9,12,21,4306,41241,45547,0.000192,0.000956,0.001148
10,16,26,77063,3845086,3922149,0.003055,0.074380,0.077435
9,11,20,9396,26421,35817,0.000390,0.000447,0.000837
8,15,23,796,1157460,1158256,0.000032,0.019689,0.019721
10,14,24,9916,269044,278960,0.000546,0.004857,0.005403
9,15,24,7886,4739466,4747352,0.000340,0.079535,0.079875
9,15,24,741,1080527,1081268,0.000036,0.019120,0.019156
9,15,24,8176,1113412,1121588,0.000368,0.019140,0.019508
8,14,22,1658,599254,600912,0.000078,0.010041,0.010119
8,13,21,1731,434967,436698,0.000079,0.007340,0.007419
10,15,25,16227,364854,381081,0.000746,0.006041,0.006787
8,13,21,3342,114765,118107,0.000130,0.001988,0.002118
9,13,22,10628,75706,86334,0.000420,0.001323,0.001743
10,15,25,35162,1871288,1906450,0.001397,0.032706,0.034103
9,13,22,6410,78411,84821,0.000281,0.001422,0.001703
10,14,24,45919,1414920,1460839,0.001791,0.032875,0.034666
