phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,16,25,1800,5383076,5384876,0.000112,0.148653,0.148765
9,14,23,2212,190310,192522,0.000147,0.004858,0.005005
8,15,23,496,2563669,2564165,0.000029,0.063356,0.063385
10,14,24,10144,420988,431132,0.000530,0.010363,0.010893
9,16,25,7188,7585647,7592835,0.000375,0.165152,0.165527
9,15,24,6123,433510,439633,0.000291,0.009792,0.010083
9,14,23,3364,599143,602507,0.000164,0.010765,0.010929
9,15,24,8745,1674082,1682827,0.000389,0.029050,0.029439
10,13,23,17975,23967,41942,0.000740,0.000530,0.001270
10,13,23,35758,46397,82155,0.001343,0.000935,0.002278
10,14,24,51175,4738818,4789993,0.001712,0.096965,0.098677
9,14,23,4705,245095,249800,0.000226,0.004648,0.004874
10,14,24,29344,209830,239174,0.001222,0.008298,0.009520
8,15,23,888,3341016,3341904,0.000051,0.078143,0.078194
10,14,24,77427,254859,332286,0.003524,0.006390,0.009914
9,13,22,7480,25795,33275,0.000346,0.000802,0.001148
10,15,25,53471,672636,726107,0.002278,0.016830,0.019108
10,14,24,14470,1177494,1191964,0.000663,0.025941,0.026604
10,15,25,63587,430106,493693,0.002616,0.010794,0.013410
9,12,21,10404,21684,32088,0.000514,0.000590,0.001104
9,12,21,4306,41241,45547,0.000211,0.001099,0.001310
10,16,26,77063,3845086,3922149,0.003243,0.088612,0.091855
9,11,20,9396,26421,35817,0.000431,0.000516,0.000947
8,15,23,796,1157460,1158256,0.000036,0.022582,0.022618
10,14,24,9916,269044,278960,0.000444,0.005292,0.005736
9,15,24,7886,4739466,4747352,0.000343,0.097549,0.097892
9,15,24,741,1080527,1081268,0.000040,0.029279,0.029319
9,15,24,8176,1113412,1121588,0.000444,0.027778,0.028222
8,14,22,1658,599254,600912,0.000096,0.013743,0.013839
8,13,21,1731,434967,436698,0.000095,0.009981,0.010076
10,15,25,16227,364854,381081,0.000828,0.007979,0.008807
8,13,21,3342,114765,118107,0.000153,0.002686,0.002839
9,13,22,10628,75706,86334,0.000476,0.001747,0.002223
10,15,25,35162,1871288,1906450,0.001550,0.040738,0.042288
9,13,22,6410,78411,84821,0.000279,0.001520,0.001799
10,14,24,45919,1414920,1460839,0.001785,0.028224,0.030009
10,16,26,5056,2875155,2880211,0.000211,0.056726,0.056937
8,13,21,392,62428,62820,0.000021,0.001580,0.001601
10,16,26,12003,3098826,3110829,0.000629,0.062730,0.063359
10,13,23,16254,695,16949,0.000715,0.000028,0.000743
9,16,25,10752,1745904,1756656,0.000423,0.032269,0.032692
9,13,22,2628,197483,200111,0.000112,0.003565,0.003677
10,15,25,8452,2663319,2671771,0.000370,0.048595,0.048965
9,15,24,1981,1297368,1299349,0.000096,0.022936,0.023032
10,12,22,23487,16758,40245,0.000976,0.000322,0.001298
10,14,24,31816,493535,525351,0.001206,0.010040,0.011246
10,14,24,15546,864630,880176,0.000681,0.019005,0.019686
9,15,24,16244,3463433,3479677,0.000686,0.077342,0.078028
10,15,25,9162,415483,424645,0.000429,0.007887,0.008316
9,14,23,7885,213738,221623,0.000357,0.004202,0.004559
9,14,23,3842,1311969,1315811,0.000176,0.023940,0.024116
8,14,22,1136,1904046,1905182,0.000048,0.034221,0.034269
9,15,24,5202,761543,766745,0.000248,0.014211,0.014459
9,12,21,8319,68096,76415,0.000391,0.001400,0.001791
9,14,23,2260,170438,172698,0.000107,0.003100,0.003207
10,14,24,7993,699660,707653,0.000353,0.012539,0.012892
10,14,24,7862,516781,524643,0.000347,0.009676,0.010023
9,15,24,1660,3007888,3009548,0.000328,0.065343,0.065671
9,14,23,29222,352836,382058,0.001424,0.007721,0.009145
9,14,23,7050,167783,174833,0.000306,0.003367,0.003673
10,13,23,12653,214262,226915,0.000538,0.004473,0.005011
9,14,23,3396,221348,224744,0.000142,0.005088,0.005230
10,13,23,24232,4738,28970,0.001127,0.000140,0.001267
8,15,23,689,251287,251976,0.000032,0.005728,0.005760
10,16,26,73608,1402345,1475953,0.002767,0.033431,0.036198
10,15,25,23365,1547221,1570586,0.001145,0.034231,0.035376
10,14,24,13045,248189,261234,0.000602,0.005366,0.005968
10,15,25,6856,2293550,2300406,0.000342,0.044850,0.045192
9,14,23,2390,4065203,4067593,0.000111,0.071965,0.072076
9,14,23,6678,1236153,1242831,0.000281,0.021412,0.021693
10,14,24,15626,620300,635926,0.000653,0.010860,0.011513
9,13,22,6098,216276,222374,0.000251,0.003955,0.004206
10,13,23,23228,14789,38017,0.000957,0.000392,0.001349
8,14,22,4321,169438,173759,0.000169,0.003279,0.003448
10,15,25,45605,5627540,5673145,0.001568,0.113260,0.114828
9,15,24,6864,151700,158564,0.000340,0.002972,0.003312
10,14,24,49831,53697,103528,0.001872,0.001267,0.003139
10,13,23,13345,13507,26852,0.000504,0.000320,0.000824
9,15,24,5591,2415061,2420652,0.000223,0.067194,0.067417
9,14,23,9137,1322872,1332009,0.000480,0.028769,0.029249
10,15,25,20889,332221,353110,0.000942,0.007783,0.008725
10,15,25,14133,2260245,2274378,0.000670,0.047001,0.047671
10,13,23,7977,239703,247680,0.000578,0.005373,0.005951
9,14,23,9824,195949,205773,0.000839,0.004922,0.005761
10,13,23,52408,87247,139655,0.003047,0.002269,0.005316
10,14,24,41909,1657120,1699029,0.001830,0.036751,0.038581
9,13,22,8663,25291,33954,0.000395,0.000545,0.000940
9,14,23,2518,567940,570458,0.000113,0.012329,0.012442
10,13,23,107126,239713,346839,0.003939,0.005868,0.009807
9,15,24,1000,271844,272844,0.000044,0.006395,0.006439
10,14,24,36396,2230143,2266539,0.001490,0.046068,0.047558
10,15,25,23777,601056,624833,0.000908,0.012102,0.013010
10,15,25,13601,1951094,1964695,0.000574,0.034635,0.035209
11,14,25,97419,227878,325297,0.003467,0.004700,0.008167
10,15,25,7132,257094,264226,0.000284,0.005788,0.006072
9,15,24,3090,514313,517403,0.000132,0.011937,0.012069
10,14,24,17680,170036,187716,0.000806,0.003902,0.004708
8,14,22,629,1063829,1064458,0.000029,0.023183,0.023212
10,14,24,9265,3618553,3627818,0.000670,0.075236,0.075906
8,14,22,1125,1263457,1264582,0.000053,0.022554,0.022607
9,15,24,1177,4985533,4986710,0.000066,0.112773,0.112839
10,14,24,9916,1883005,1892921,0.000520,0.042286,0.042806
9,14,23,6120,399224,405344,0.000323,0.009671,0.009994
9,13,22,2792,1069269,1072061,0.000150,0.022329,0.022479
10,13,23,34568,8079,42647,0.001581,0.000408,0.001989
10,14,24,30977,522489,553466,0.001504,0.012724,0.014228
10,14,24,11594,129978,141572,0.000547,0.003035,0.003582
11,14,25,91831,14962,106793,0.003814,0.000682,0.004496
10,13,23,26496,82848,109344,0.001080,0.002395,0.003475
9,15,24,17450,196221,213671,0.000660,0.006520,0.007180
9,15,24,1532,1183471,1185003,0.000083,0.031610,0.031693
9,14,23,6369,145340,151709,0.000331,0.003425,0.003756
9,13,22,1408,66712,68120,0.000079,0.001598,0.001677
9,14,23,4406,73285,77691,0.000224,0.002134,0.002358
10,14,24,15211,139968,155179,0.000693,0.003380,0.004073
9,14,23,12646,2051130,2063776,0.000548,0.042739,0.043287
10,15,25,12986,2762204,2775190,0.000591,0.053878,0.054469
10,15,25,31288,2161816,2193104,0.001263,0.048512,0.049775
7,14,21,189,130851,131040,0.000010,0.003096,0.003106
10,14,24,20015,220386,240401,0.000961,0.005360,0.006321
