phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
12,9,21,4613758,123,4613881,0.227566,0.000006,0.227572
10,11,21,114759,995,115754,0.008435,0.000083,0.008518
11,10,21,204238,1032,205270,0.012439,0.000034,0.012473
12,9,21,27974210,137,27974347,1.253713,0.000007,1.253720
10,11,21,99313,2746,102059,0.006535,0.000163,0.006698
13,8,21,27160064,151,27160215,1.174713,0.000008,1.174721
9,12,21,3450,7040,10490,0.000197,0.000323,0.000520
11,10,21,96948,228,97176,0.008217,0.000009,0.008226
12,8,20,857368,159,857527,0.043431,0.000008,0.043439
11,10,21,1809876,307,1810183,0.086266,0.000023,0.086289
11,10,21,1368074,380,1368454,0.064894,0.000028,0.064922
11,10,21,232009,536,232545,0.012741,0.000018,0.012759
11,10,21,1657835,265,1658100,0.081267,0.000019,0.081286
11,10,21,564757,394,565151,0.031214,0.000011,0.031225
13,7,20,180974032,105,180974137,7.711884,0.000007,7.711891
11,10,21,999630,1283,1000913,0.051049,0.000052,0.051101
12,9,21,11625980,842,11626822,0.614826,0.000065,0.614891
10,11,21,77786,7814,85600,0.006199,0.000402,0.006601
11,10,21,164669,6589,171258,0.012973,0.000400,0.013373
9,12,21,10404,21684,32088,0.000746,0.001271,0.002017
9,12,21,4306,41241,45547,0.000371,0.002395,0.002766
13,8,21,49376687,152,49376839,2.374613,0.000011,2.374624
9,11,20,9396,26421,35817,0.000566,0.001251,0.001817
9,12,21,7429,73865,81294,0.000645,0.003247,0.003892
10,11,21,61677,5392,67069,0.005887,0.000378,0.006265
11,10,21,1259621,2294,1261915,0.068152,0.000093,0.068245
14,7,21,141021306,84,141021390,7.393224,0.000005,7.393229
9,12,21,12577,33526,46103,0.001080,0.001888,0.002968
8,13,21,1675,171831,173506,0.000186,0.006819,0.007005
8,13,21,1731,434967,436698,0.000147,0.016789,0.016936
11,10,21,725388,129,725517,0.044676,0.000009,0.044685
8,13,21,3342,114765,118107,0.000172,0.005584,0.005756
11,10,21,2916571,208,2916779,0.178558,0.000012,0.178570
11,10,21,112537,10924,123461,0.006645,0.000474,0.007119
12,9,21,28448716,213,28448929,1.583266,0.000015,1.583281
13,8,21,10441136,121,10441257,0.563076,0.000007,0.563083
12,9,21,12095257,2232,12097489,0.610468,0.000091,0.610559
8,13,21,392,62428,62820,0.000016,0.002910,0.002926
11,10,21,893421,462,893883,0.054361,0.000027,0.054388
11,10,21,676663,131,676794,0.033089,0.000008,0.033097
10,11,21,161452,3468,164920,0.007585,0.000193,0.007778
9,12,21,2645,41149,43794,0.000161,0.001755,0.001916
13,8,21,175280351,170,175280521,9.251153,0.000011,9.251164
9,12,21,16679,144800,161479,0.001452,0.004984,0.006436
10,11,21,104902,4361,109263,0.006100,0.000220,0.006320
11,10,21,228328,1342,229670,0.010530,0.000074,0.010604
12,9,21,14420409,434,14420843,0.804009,0.000039,0.804048
13,8,21,62556797,109,62556906,3.665738,0.000007,3.665745
10,11,21,22632,1392,24024,0.001575,0.000103,0.001678
11,10,21,2520017,989,2521006,0.191939,0.000082,0.192021
11,10,21,1661153,265,1661418,0.131829,0.000023,0.131852
8,13,21,1153,270319,271472,0.000120,0.012978,0.013098
10,11,21,50457,10890,61347,0.003761,0.000510,0.004271
9,12,21,8319,68096,76415,0.000607,0.003117,0.003724
10,11,21,2265,185,2450,0.000194,0.000009,0.000203
11,9,20,509391,868,510259,0.034354,0.000060,0.034414
11,10,21,107730,2246,109976,0.006227,0.000091,0.006318
12,9,21,9961316,233,9961549,0.526181,0.000015,0.526196
10,11,21,29233,2784,32017,0.001098,0.000067,0.001165
11,10,21,2085604,348,2085952,0.104146,0.000018,0.104164
11,10,21,1147934,301,1148235,0.050041,0.000018,0.050059
11,10,21,2044152,146,2044298,0.096262,0.000007,0.096269
11,9,20,802296,138,802434,0.035998,0.000009,0.036007
10,10,20,144152,453,144605,0.008358,0.000045,0.008403
12,9,21,3161464,377,3161841,0.148560,0.000019,0.148579
13,8,21,180312705,118,180312823,9.540163,0.000010,9.540173
10,11,21,122116,11680,133796,0.010389,0.000645,0.011034
11,9,20,522013,270,522283,0.032229,0.000020,0.032249
10,11,21,30514,5960,36474,0.002190,0.000179,0.002369
10,11,21,89133,11474,100607,0.005599,0.000620,0.006219
10,11,21,53566,1459,55025,0.004791,0.000113,0.004904
10,11,21,86309,3024,89333,0.005322,0.000161,0.005483
11,10,21,760518,3007,763525,0.043561,0.000141,0.043702
8,13,21,4338,18103,22441,0.000240,0.000724,0.000964
11,9,20,340697,643,341340,0.020228,0.000050,0.020278
10,10,20,82551,1385,83936,0.005476,0.000043,0.005519
12,9,21,11807397,277,11807674,0.555109,0.000019,0.555128
12,9,21,6060107,129,6060236,0.266598,0.000007,0.266605
10,11,21,34019,3461,37480,0.002090,0.000204,0.002294
10,11,21,33012,6855,39867,0.002499,0.000510,0.003009
10,11,21,53256,13423,66679,0.004116,0.000729,0.004845
11,10,21,320416,1085,321501,0.024003,0.000060,0.024063
11,10,21,323955,1432,325387,0.020026,0.000092,0.020118
11,10,21,621986,962,622948,0.031722,0.000038,0.031760
12,9,21,3976521,1227,3977748,0.179596,0.000060,0.179656
12,9,21,16435401,530,16435931,0.758445,0.000028,0.758473
10,11,21,126130,1105,127235,0.008154,0.000114,0.008268
11,10,21,466720,539,467259,0.026665,0.000017,0.026682
12,9,21,6667023,323,6667346,0.294053,0.000025,0.294078
10,11,21,95005,2477,97482,0.006752,0.000185,0.006937
12,9,21,18137144,203,18137347,0.829819,0.000014,0.829833
12,9,21,10917707,817,10918524,0.512093,0.000047,0.512140
12,9,21,7341757,132,7341889,0.366203,0.000006,0.366209
12,9,21,2000020,504,2000524,0.103872,0.000030,0.103902
12,9,21,278671,356,279027,0.018104,0.000014,0.018118
10,11,21,36565,3685,40250,0.002849,0.000246,0.003095
12,9,21,2544805,187,2544992,0.117275,0.000014,0.117289
8,13,21,646,21720,22366,0.000048,0.000793,0.000841
12,9,21,1334713,155,1334868,0.066577,0.000009,0.066586
9,12,21,1421,11501,12922,0.000149,0.000286,0.000435
