phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
12,9,21,4613758,123,4613881,0.372432,0.000008,0.372440
10,11,21,114759,995,115754,0.010194,0.000105,0.010299
11,10,21,204238,1032,205270,0.019377,0.000059,0.019436
12,9,21,27974210,137,27974347,1.795654,0.000008,1.795662
10,11,21,99313,2746,102059,0.006891,0.000176,0.007067
13,8,21,27160064,151,27160215,1.623150,0.000007,1.623157
9,12,21,3450,7040,10490,0.000255,0.000285,0.000540
11,10,21,96948,228,97176,0.007500,0.000009,0.007509
12,8,20,857368,159,857527,0.059221,0.000009,0.059230
11,10,21,1809876,307,1810183,0.127688,0.000028,0.127716
11,10,21,1368074,380,1368454,0.087054,0.000035,0.087089
11,10,21,232009,536,232545,0.015036,0.000021,0.015057
11,10,21,1657835,265,1658100,0.124100,0.000024,0.124124
11,10,21,564757,394,565151,0.046228,0.000015,0.046243
13,7,20,180974032,105,180974137,10.833960,0.000009,10.833968
11,10,21,999630,1283,1000913,0.063929,0.000065,0.063994
12,9,21,11625980,842,11626822,0.721392,0.000069,0.721461
10,11,21,77786,7814,85600,0.006152,0.000376,0.006528
11,10,21,164669,6589,171258,0.012176,0.000380,0.012556
9,12,21,10404,21684,32088,0.000689,0.001132,0.001821
9,12,21,4306,41241,45547,0.000367,0.002508,0.002875
13,8,21,49376687,152,49376839,2.888350,0.000012,2.888362
9,11,20,9396,26421,35817,0.000636,0.001428,0.002064
9,12,21,7429,73865,81294,0.000686,0.003320,0.004006
10,11,21,61677,5392,67069,0.005451,0.000295,0.005746
11,10,21,1259621,2294,1261915,0.081745,0.000109,0.081854
14,7,21,141021306,84,141021390,8.795892,0.000005,8.795897
9,12,21,12577,33526,46103,0.000921,0.001597,0.002518
8,13,21,1675,171831,173506,0.000231,0.007278,0.007509
8,13,21,1731,434967,436698,0.000168,0.021288,0.021456
11,10,21,725388,129,725517,0.047814,0.000010,0.047824
8,13,21,3342,114765,118107,0.000197,0.006187,0.006384
11,10,21,2916571,208,2916779,0.198163,0.000013,0.198176
11,10,21,112537,10924,123461,0.009173,0.000552,0.009725
12,9,21,28448716,213,28448929,1.757632,0.000018,1.757650
13,8,21,10441136,121,10441257,0.647344,0.000007,0.647351
12,9,21,12095257,2232,12097489,0.708435,0.000107,0.708542
8,13,21,392,62428,62820,0.000022,0.003572,0.003594
11,10,21,893421,462,893883,0.063063,0.000031,0.063094
11,10,21,676663,131,676794,0.049314,0.000015,0.049329
10,11,21,161452,3468,164920,0.012640,0.000211,0.012851
9,12,21,2645,41149,43794,0.000217,0.001981,0.002198
13,8,21,175280351,170,175280521,10.647488,0.000010,10.647497
9,12,21,16679,144800,161479,0.001750,0.005176,0.006926
10,11,21,104902,4361,109263,0.008661,0.000332,0.008993
11,10,21,228328,1342,229670,0.018651,0.000087,0.018738
12,9,21,14420409,434,14420843,0.887400,0.000039,0.887439
13,8,21,62556797,109,62556906,4.486589,0.000007,4.486596
10,11,21,22632,1392,24024,0.001607,0.000115,0.001722
11,10,21,2520017,989,2521006,0.163720,0.000084,0.163804
